Country,year,pop,region,life_exp,fertility
Afghanistan,1964,10474903.0,South Asia,33.639,7.671
Afghanistan,1965,10697983.0,South Asia,34.152,7.671
Afghanistan,1966,10927724.0,South Asia,34.662,7.671
Afghanistan,1967,11163656.0,South Asia,35.17,7.671
Afghanistan,1968,11411022.0,South Asia,35.674,7.671
Afghanistan,1969,11676990.0,South Asia,36.172,7.671
Afghanistan,1970,11964906.0,South Asia,36.663000000000004,7.671
Afghanistan,1971,12273101.0,South Asia,37.143,7.671
Afghanistan,1972,12593688.0,South Asia,37.614000000000004,7.671
Afghanistan,1973,12915499.0,South Asia,38.075,7.671
Afghanistan,1974,13223928.0,South Asia,38.529,7.671
Afghanistan,1975,13505544.0,South Asia,38.977,7.671
Afghanistan,1976,13766792.0,South Asia,39.417,7.67
Afghanistan,1977,14003408.0,South Asia,39.855,7.67
Afghanistan,1978,14179656.0,South Asia,40.298,7.67
Afghanistan,1979,14249493.0,South Asia,40.756,7.669
Afghanistan,1980,14185729.0,South Asia,41.242,7.669
Afghanistan,1981,13984092.0,South Asia,41.77,7.67
Afghanistan,1982,13672870.0,South Asia,42.347,7.671
Afghanistan,1983,13300056.0,South Asia,42.977,7.672999999999999
Afghanistan,1984,12931791.0,South Asia,43.661,7.676
Afghanistan,1985,12625292.0,South Asia,44.4,7.678999999999999
Afghanistan,1986,12372113.0,South Asia,45.192,7.681
Afghanistan,1987,12183387.0,South Asia,46.023999999999994,7.682
Afghanistan,1988,12156685.0,South Asia,46.88,7.682
Afghanistan,1989,12414686.0,South Asia,47.744,7.682
Afghanistan,1990,13032161.0,South Asia,48.601000000000006,7.687
Afghanistan,1991,14069854.0,South Asia,49.43899999999999,7.7
Afghanistan,1992,15472076.0,South Asia,50.247,7.725
Afghanistan,1993,17053213.0,South Asia,51.016999999999996,7.757999999999999
Afghanistan,1994,18553819.0,South Asia,51.738,7.796
Afghanistan,1995,19789880.0,South Asia,52.4,7.832000000000001
Afghanistan,1996,20684982.0,South Asia,52.995,7.859
Afghanistan,1997,21299350.0,South Asia,53.527,7.869
Afghanistan,1998,21752257.0,South Asia,54.00899999999999,7.854
Afghanistan,1999,22227543.0,South Asia,54.449,7.809
Afghanistan,2000,22856302.0,South Asia,54.863,7.733
Afghanistan,2001,23677385.0,South Asia,55.271,7.622999999999999
Afghanistan,2002,24639841.0,South Asia,55.687,7.484
